customer_id,first_name,last_name,email,address,dob
1,Gary,Santiago,lucassophia@hotmail.com,"82883 Justin Park Suite 107
Barajasfort, WV 66727",2000-02-17
2,Suzanne,Reyes,tparker@pratt.com,"28603 Williams Manor Suite 175
North Justin, CO 22136",1984-10-15
3,Brenda,Martinez,ncoleman@peck.org,"3236 Wyatt Fords Suite 923
Jamesland, WY 32218",1965-01-14
4,Jennifer,Savage,jamiehinton@wilson-watkins.org,"44786 Mercado Trafficway Apt. 163
Ramirezshire, GA 34520",1968-07-04
5,Erika,Johnson,andrew74@dorsey-smith.com,"2598 George Spurs Apt. 682
North John, NY 95515",1982-04-10
6,Janice,Yates,mhamilton@yahoo.com,"31728 Simpson Field Suite 007
South Nicole, AL 07648",1962-12-22
7,Christina,Booker,benjamin14@cortez-khan.net,"3075 Pham Branch Apt. 824
Shawnborough, NY 62940",1994-01-25
8,Jennifer,Hanson,pterry@arroyo.com,"564 Brown Stravenue
Barbaraburgh, VA 67150",1988-07-11
9,Allison,White,ellismichael@davis-barnes.com,"USNV Caldwell
FPO AE 36808",1989-04-09
10,Gabriela,Miller,christopherwarner@nicholson.org,"5197 Nancy Greens Apt. 983
Aaronview, WY 96691",1997-05-02
11,Thomas,Tate,michaelduran@thompson.com,"PSC 1739, Box 6300
APO AA 80353",1996-05-31
12,Jasmine,Byrd,qmalone@olson.info,"12555 Michael Branch Apt. 183
Kaitlynport, NJ 67626",2002-05-23
13,Willie,Durham,warelogan@garza.org,"45640 Mcdonald Well Suite 333
South Karenside, NC 41835",1981-03-14
14,Megan,Walter,robertschristopher@hotmail.com,"505 Sheila Via Suite 141
Austinstad, CT 48247",1991-05-09
15,Ashley,Crawford,whitneykatherine@hotmail.com,"03428 Kelley Stream
Fitzpatrickland, CT 36036",1962-08-03
16,Brianna,Liu,myersmark@yahoo.com,"Unit 0002 Box 5829
DPO AE 04405",1983-10-24
17,Alexis,Maynard,james72@cannon.com,"USNV Williams
FPO AP 05722",1963-12-30
18,Jessica,Shepherd,thomasacevedo@gmail.com,"6679 Anna Turnpike Suite 332
Walkerhaven, NM 31696",1983-08-11
19,Molly,West,shaneyang@yahoo.com,"653 Ross Gardens Suite 647
Melissastad, CT 33534",1990-04-15
20,Jennifer,Adams,josephstone@hotmail.com,"03369 Zavala Light
Collinsbury, DC 96351",1976-09-11
21,Jennifer,Franklin,kristin74@hotmail.com,"1154 Riley Haven
East Angelafurt, OK 49497",1986-12-20
22,Paul,Walters,clarkjames@yahoo.com,"741 Wesley Brooks Apt. 169
New Sara, WA 49281",1996-01-17
23,Wendy,Pearson,dianelewis@gray-ramirez.com,"841 Wiggins Groves
Angelafurt, OK 30899",1983-10-23
24,Paige,Gardner,dshelton@meyer.com,"65556 Courtney Square
Lake Jennifer, AR 02030",1981-06-08
25,Dawn,Dillon,brian14@hotmail.com,"PSC 5063, Box 3948
APO AE 90884",1963-11-22
26,Andrea,Martinez,josekelly@smith-huang.org,"435 Chan Valley Suite 856
West Alyssafort, CT 74117",2004-11-09
27,Jessica,Howard,carmenvaldez@hotmail.com,"69404 Jason Drive
Flemingside, IL 97730",1969-01-24
28,Tyler,Spencer,louis26@holland.com,"USS Rivas
FPO AA 95576",1969-04-24
29,Desiree,Nunez,brian17@brown.biz,"49333 Brandt Ways
West William, MD 98326",1989-01-28
30,Jose,Mcclain,curtiscrawford@willis.com,"191 Kendra Lodge Suite 428
Monicabury, FL 51576",1989-03-25
31,Kristine,Castillo,mwarren@gmail.com,"6602 Kyle Branch Suite 342
Stevenberg, NV 72509",1986-04-29
